2023-05-04 21:42:21,228 INFO    MainThread:1979980 [wandb_setup.py:_flush():76] Configure stats pid to 1979980
2023-05-04 21:42:21,229 INFO    MainThread:1979980 [wandb_setup.py:_flush():76] Loading settings from /home/saumyam/.config/wandb/settings
2023-05-04 21:42:21,229 INFO    MainThread:1979980 [wandb_setup.py:_flush():76] Loading settings from /home/saumyam/NerfFinalProject/NERF/wandb/settings
2023-05-04 21:42:21,229 INFO    MainThread:1979980 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-05-04 21:42:21,229 INFO    MainThread:1979980 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-05-04 21:42:21,229 INFO    MainThread:1979980 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'NERF/RunNerf.py', 'program': '/home/saumyam/NerfFinalProject/NERF/RunNerf.py'}
2023-05-04 21:42:21,229 INFO    MainThread:1979980 [wandb_init.py:_log_setup():506] Logging user logs to /home/saumyam/NerfFinalProject/NERF/wandb/offline-run-20230504_214221-lv86nr7s/logs/debug.log
2023-05-04 21:42:21,229 INFO    MainThread:1979980 [wandb_init.py:_log_setup():507] Logging internal logs to /home/saumyam/NerfFinalProject/NERF/wandb/offline-run-20230504_214221-lv86nr7s/logs/debug-internal.log
2023-05-04 21:42:21,229 INFO    MainThread:1979980 [wandb_init.py:init():546] calling init triggers
2023-05-04 21:42:21,229 INFO    MainThread:1979980 [wandb_init.py:init():552] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.0001, 'iters': 10000, 'batch_size': 262144}
2023-05-04 21:42:21,229 INFO    MainThread:1979980 [wandb_init.py:init():602] starting backend
2023-05-04 21:42:21,229 INFO    MainThread:1979980 [wandb_init.py:init():606] setting up manager
2023-05-04 21:42:21,230 INFO    MainThread:1979980 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-05-04 21:42:21,232 INFO    MainThread:1979980 [wandb_init.py:init():613] backend started and connected
2023-05-04 21:42:21,233 INFO    MainThread:1979980 [wandb_init.py:init():701] updated telemetry
2023-05-04 21:42:21,240 INFO    MainThread:1979980 [wandb_init.py:init():789] starting run threads in backend
2023-05-04 21:42:37,133 INFO    MainThread:1979980 [wandb_run.py:_console_start():2114] atexit reg
2023-05-04 21:42:37,133 INFO    MainThread:1979980 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-05-04 21:42:37,133 INFO    MainThread:1979980 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-05-04 21:42:37,133 INFO    MainThread:1979980 [wandb_run.py:_redirect():2059] Redirects installed.
2023-05-04 21:42:37,134 INFO    MainThread:1979980 [wandb_init.py:init():831] run started, returning control to user process
